Data,Bioma,Estados,Nível 0,Area_Queimada_ha
2019-04-01,Amazônia,Acre,Antrópico,11.04309094
2019-04-01,Amazônia,Acre,Natural,0.17726026
2019-08-01,Amazônia,Acre,Antrópico,46.9090205
2019-08-01,Amazônia,Acre,Antrópico,66041.14536
2019-08-01,Amazônia,Acre,Natural,68.43167289
2019-08-01,Amazônia,Acre,Natural,6846.23075
2019-08-01,Amazônia,Acre,Natural,26.74393361
2019-08-01,Amazônia,Acre,Natural,83.5840894
2019-08-01,Amazônia,Acre,Natural,237.7539682
2019-12-01,Amazônia,Acre,Antrópico,27.76575504
2019-01-01,Amazônia,Acre,Antrópico,4.608058722
2019-01-01,Amazônia,Acre,Natural,0.88617605
2019-07-01,Amazônia,Acre,Antrópico,37.60772069
2019-07-01,Amazônia,Acre,Antrópico,2094.756615
2019-07-01,Amazônia,Acre,Natural,0.088268506
2019-07-01,Amazônia,Acre,Natural,12.08140865
2019-07-01,Amazônia,Acre,Natural,7.750230103
2019-07-01,Amazônia,Acre,Natural,110.3362164
2019-06-01,Amazônia,Acre,Antrópico,0.792582391
2019-06-01,Amazônia,Acre,Antrópico,441.2901821
2019-06-01,Amazônia,Acre,Natural,3.799137122
2019-06-01,Amazônia,Acre,Natural,1.056815857
2019-06-01,Amazônia,Acre,Natural,47.47709298
2019-05-01,Amazônia,Acre,Antrópico,147.1684899
2019-05-01,Amazônia,Acre,Natural,1.057779004
2019-05-01,Amazônia,Acre,Natural,5.01968429
2019-03-01,Amazônia,Acre,Antrópico,1.417884229
2019-11-01,Amazônia,Acre,Antrópico,3.08232998
2019-11-01,Amazônia,Acre,Antrópico,1673.492403
2019-11-01,Amazônia,Acre,Natural,0.087926257
2019-11-01,Amazônia,Acre,Natural,236.2671534
2019-11-01,Amazônia,Acre,Natural,1.056926672
2019-11-01,Amazônia,Acre,Natural,3.179313672
2019-10-01,Amazônia,Acre,Antrópico,47.7844892
2019-10-01,Amazônia,Acre,Antrópico,9260.07585
2019-10-01,Amazônia,Acre,Natural,11.39476998
2019-10-01,Amazônia,Acre,Natural,1478.370012
2019-10-01,Amazônia,Acre,Natural,13.23186996
2019-10-01,Amazônia,Acre,Natural,0.264719721
2019-09-01,Amazônia,Acre,Antrópico,14.0735357
2019-09-01,Amazônia,Acre,Antrópico,82176.43841
2019-09-01,Amazônia,Acre,Natural,120.6363745
2019-09-01,Amazônia,Acre,Natural,14123.12522
2019-09-01,Amazônia,Acre,Natural,15.00888793
2019-09-01,Amazônia,Acre,Natural,67.28231504
2019-09-01,Amazônia,Acre,Natural,50.5117487
2019-04-01,Amazônia,Amapá,Natural,1.787458862
2019-08-01,Amazônia,Amapá,Antrópico,4.290578308
2019-08-01,Amazônia,Amapá,Antrópico,15.6409749
2019-08-01,Amazônia,Amapá,Antrópico,17.15285577
2019-08-01,Amazônia,Amapá,Antrópico,10.19014001
2019-08-01,Amazônia,Amapá,Natural,4.20071856
2019-08-01,Amazônia,Amapá,Natural,11.61985397
2019-08-01,Amazônia,Amapá,Natural,314.5720646
2019-08-01,Amazônia,Amapá,Natural,2129.848015
2019-12-01,Amazônia,Amapá,Antrópico,120.2264977
2019-12-01,Amazônia,Amapá,Antrópico,207.2763628
2019-12-01,Amazônia,Amapá,Antrópico,248.7518116
2019-12-01,Amazônia,Amapá,Antrópico,57.12093943
2019-12-01,Amazônia,Amapá,Natural,102.1706705
2019-12-01,Amazônia,Amapá,Natural,137.6217744
2019-12-01,Amazônia,Amapá,Natural,9.38558479
2019-12-01,Amazônia,Amapá,Natural,3000.322743
2019-12-01,Amazônia,Amapá,Natural,5667.277762
2019-02-01,Amazônia,Amapá,Antrópico,13.23059513
2019-02-01,Amazônia,Amapá,Antrópico,27.80213719
